[2025-05-17 22:22:55.854] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=978.812 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:56.854] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=985.676 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:57.854] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=973.852 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:58.854] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=975.391 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:59.855] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=977.449 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:00.855] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=953.883 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:01.855] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=945.176 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:02.855] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=936.910 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:03.855] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=953.859 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:04.855] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=947.402 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:05.855] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=953.184 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:06.855] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=892.996 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:07.855] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=854.176 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:08.855] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=823.102 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:09.855] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=855.676 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:10.855] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=876.973 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:11.856] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=871.406 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:12.856] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=886.273 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:13.856] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=906.469 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:14.856] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=939.043 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:15.856] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=936.297 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:16.856] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=935.816 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:17.856] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=940.949 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:18.856] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=950.008 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:19.856] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=992.324 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:20.856] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=988.281 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:21.856] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=996.824 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:22.857] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=968.109 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:23.857] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=955.781 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:23:24.857] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=958.992 MB, proc_mem_usage=-0.000 MB
